Genotype;date;plant;nb_visible_leaves;nb_total_leaves;nb_missing_leaves;nb_leaf_present;leaf_area;total_leaf_area;nb_total_flowers;nb_stolons;nb_vegetative_bud;nb_initiated_bud;nb_floral_bud;nb_inflorescence;order_max;nb_ramifications;vid
Gariguette;19/05/2015;2;34;38;0;34;49.64;1687.76;67;0;3;2;13;8;3;3;5328
Gariguette;19/05/2015;3;27;33;0;27;67.96;1834.92;51;1;8;0;10;7;3;3;5511
Gariguette;19/05/2015;4;17;17;0;17;77.18;1312.06;33;0;3;0;5;4;3;0;5654
Gariguette;19/05/2015;5;31;31;0;31;197.84;6133.04;62;4;9;2;7;9;4;1;5725
Gariguette;19/05/2015;6;41;41;0;41;160.45;6578.45;76;4;9;0;14;12;5;2;5860
Gariguette;19/05/2015;7;27;27;0;27;89.41;2414.07;51;1;6;3;6;8;4;1;6054
Gariguette;19/05/2015;8;25;25;0;25;75.25;1881.25;46;2;6;1;6;6;3;1;6169
Gariguette;19/05/2015;9;47;47;0;47;137.41;6458.27;90;6;15;2;9;13;4;5;6293
Darselect;10/12/2014;1;7;9;0;7;47.26;330.82;7;2;3;0;2;1;1;0;6519
Darselect;10/12/2014;2;6;9;0;6;41.55;249.3;9;2;5;0;1;1;1;0;6554
Darselect;10/12/2014;3;6;7;0;6;46.25;277.5;0;0;3;0;3;1;1;0;6598
Darselect;10/12/2014;4;7;10;0;7;36.81;257.67;0;1;6;0;3;0;0;0;6650
Darselect;10/12/2014;5;6;8;0;6;47.19;283.14;0;0;4;0;2;1;1;0;6711
Darselect;10/12/2014;6;6;8;0;6;25.96;155.76;0;0;6;0;1;1;1;0;6745
Darselect;10/12/2014;7;5;10;0;5;47.19;235.95;0;0;4;0;3;0;0;0;6788
Darselect;10/12/2014;8;6;8;0;6;48.26;289.56;0;2;5;0;1;0;0;0;6826
Darselect;10/12/2014;9;10;11;0;10;46.25;462.5;0;3;4;0;2;1;1;0;6870
Darselect;09/01/2015;1;9;10;0;9;66.78;601.02;0;2;1;3;4;0;0;0;6916
Darselect;09/01/2015;2;13;19;0;13;66.78;868.14;10;0;5;2;3;1;1;2;6981
Darselect;09/01/2015;3;7;8;0;7;55.52;388.64;0;2;3;0;2;1;1;0;7056
Darselect;09/01/2015;4;6;7;0;6;49.19;295.14;2;0;2;1;3;1;1;0;7098
Darselect;09/01/2015;5;8;9;0;8;56.59;452.72;7;3;1;1;3;1;1;0;7138
Darselect;09/01/2015;6;8;9;0;8;60.88;487.04;0;2;3;1;3;0;0;0;7183
Darselect;09/01/2015;7;9;11;0;9;46.25;416.25;0;1;5;1;4;0;0;0;7236
Darselect;09/01/2015;8;11;15;0;11;34.49;379.39;13;1;6;0;3;1;1;2;7304
Darselect;09/01/2015;9;11;14;0;11;43.4;477.4;4;0;6;0;6;1;1;1;7369
